Species,Avoidance,AvoidanceSD,AvoidanceLCL,AvoidanceUCL,ARs,Source
black-headed gull,0.987299254527437,8.76373628314466e-4,0.985581562215941,0.989016946838934,0.987 (0.001; 0.986 - 0.989),Cook (2021)
common gull,0.999729644812704,5.37341115082867e-5,0.999624325954148,0.99983496367126,1 (0; 1 - 1),Cook (2021)
lesser black-backed gull,0.994997431082059,3.09465086858275e-4,0.994390879511817,0.995603982652301,0.995 (0; 0.994 - 0.996),Cook (2021)
herring gull,0.995264548610868,2.19944554913937e-4,0.994833457283236,0.995695639938499,0.995 (0; 0.995 - 0.996),Cook (2021)
great black-backed gull,0.99905645227171,2.37770138915519e-4,0.998590422799435,0.999522481743984,0.999 (0; 0.999 - 1),Cook (2021)
kittiwake,0.996975769280166,0.00151765825359673,0.994001159103116,0.999950379457215,0.997 (0.002; 0.994 - 1),Cook (2021)
sandwich tern,0.972152590981564,0.001590555072102,0.969035103040244,0.975270078922884,0.972 (0.002; 0.969 - 0.975),Cook (2021)
common tern,0.920050910366694,0.00363736309672973,0.91292167869710406,0.927180142036285,0.92 (0.004; 0.913 - 0.927),Cook (2021)
little tern,0.998182898898495,2.60185026715877e-4,0.997672936246132,0.998692861550858,0.998 (0; 0.998 - 0.999),Cook (2021)
small gull,0.991910585021561,4.04073674938533e-4,0.991118600618682,0.992702569424441,0.992 (0; 0.991 - 0.993),Cook (2021)
large gull,0.985989260771543,6.9488008359061e-4,0.984627295807706,0.987351225735381,0.986 (0.001; 0.985 - 0.987),Cook (2021)
tern,0.971176833740224,7.39702140772933e-4,0.969727017544309,0.972626649936139,0.971 (0.001; 0.97 - 0.973),Cook (2021)
gull,0.987384276860154,2.80214485354049e-4,0.98683505646886,0.987933497251448,0.987 (0; 0.987 - 0.988),Cook (2021)
Gulls & terns,0.985605270282307,2.11921904936476e-4,0.986020637215983,0.985189903348632,0.986 (0; 0.986 - 0.985),Cook (2021)
