V1,V2,ArcticSkua.est,ArcticSkua.lcl,ArcticSkua.ucl,ArcticSkua.med,ArcticTern.est,ArcticTern.lcl,ArcticTern.ucl,ArcticTern.med,BlackHeadedGull.est,BlackHeadedGull.lcl,BlackHeadedGull.ucl,BlackHeadedGull.med,BlackThroatedDiver.est,BlackThroatedDiver.lcl,BlackThroatedDiver.ucl,BlackThroatedDiver.med,CommonGull.est,CommonGull.lcl,CommonGull.ucl,CommonGull.med,CommonScoter.est,CommonScoter.lcl,CommonScoter.ucl,CommonScoter.med,CommonTern.est,CommonTern.lcl,CommonTern.ucl,CommonTern.med,Cormorant.est,Cormorant.lcl,Cormorant.ucl,Cormorant.med,Eider.est,Eider.lcl,Eider.ucl,Eider.med,Fulmar.est,Fulmar.lcl,Fulmar.ucl,Fulmar.med,Gannet.est,Gannet.lcl,Gannet.ucl,Gannet.med,GreatBlackBackedGull.est,GreatBlackBackedGull.lcl,GreatBlackBackedGull.ucl,GreatBlackBackedGull.med,GreatSkua.est,GreatSkua.lcl,GreatSkua.ucl,GreatSkua.med,Guillemot.est,Guillemot.lcl,Guillemot.ucl,Guillemot.med,HerringGull.est,HerringGull.lcl,HerringGull.ucl,HerringGull.med,Kittiwake.est,Kittiwake.lcl,Kittiwake.ucl,Kittiwake.med,LesserBlackBackedGull.est,LesserBlackBackedGull.lcl,LesserBlackBackedGull.ucl,LesserBlackBackedGull.med,LittleAuk.est,LittleAuk.lcl,LittleAuk.ucl,LittleAuk.med,LittleGull.est,LittleGull.lcl,LittleGull.ucl,LittleGull.med,ManxShearwater.est,ManxShearwater.lcl,ManxShearwater.ucl,ManxShearwater.med,Puffin.est,Puffin.lcl,Puffin.ucl,Puffin.med,Razorbill.est,Razorbill.lcl,Razorbill.ucl,Razorbill.med,RedThroatedDiver.est,RedThroatedDiver.lcl,RedThroatedDiver.ucl,RedThroatedDiver.med,SandwichTern.est,SandwichTern.lcl,SandwichTern.ucl,SandwichTern.med,Shag.est,Shag.lcl,Shag.ucl,Shag.med
0,1,0.16661804,0.10527213,0.18699676,0.165031024,0.146928253,0.091230781,0.227954659,0.145726729,0.094763408,0.066151701,0.134420102,0.096993633,0.117159196,0.050562136,0.125181935,0.115928731,0.073359242,0.056665789,0.079908549,0.069932976,0.17900335,0.103391667,0.30613938,0.177854073,0.122015048,0.105626276,0.146579048,0.121906838,0.184804038,0.062215406,0.217884604,0.181268862,0.050986427,0.026080265,0.154651569,0.053120378,0.204457746,0.111982371,0.455129952,0.210578102,0.098314355,0.076650641,0.129884238,0.097786445,0.054699539,0.040138354,0.060945889,0.051765431,0.132198794,0.081843029,0.154987312,0.13039247,0.241040012,0.107221946,0.490578061,0.249345959,0.055193186,0.041951061,0.067020597,0.054945857,0.0904433,0.083249503,0.10231771,0.090270645,0.061137149,0.039019618,0.076879481,0.060965128,0.153502828,0.138704408,0.971046142,0.153501281,0.089214848,0.062809451,0.134032766,0.093165333,0.542283651,0.540388379,0.955533927,0.542403126,0.368096159,0.110151346,0.428676608,0.368482052,0.165669953,0.093476587,0.463627949,0.174602311,0.128452654,0.051524602,0.188553003,0.129377458,0.124317714,0.090087899,0.13045761,0.124544816,0.097562724,0.015806323,0.18504524,0.097520039
1,2,0.138863462,0.094199426,0.152035438,0.137802818,0.125407187,0.082949196,0.17605055,0.124557433,0.085735959,0.061731224,0.116302273,0.08753241,0.103484723,0.048055841,0.109562913,0.102541093,0.067961267,0.053465893,0.073531125,0.065056952,0.146963971,0.092503968,0.212419263,0.146224841,0.107133259,0.094476152,0.125098521,0.107051447,0.150661532,0.058361492,0.170420099,0.148412902,0.048429572,0.025443642,0.130785932,0.050339461,0.162659642,0.099450204,0.247988837,0.166239623,0.088656966,0.070785514,0.113020911,0.088232612,0.051695385,0.03840818,0.057243986,0.049086371,0.114725623,0.075181482,0.130968418,0.113393674,0.182941348,0.095730686,0.249832747,0.187174053,0.052160351,0.040204462,0.062531892,0.05192388,0.082272912,0.076240858,0.09168271,0.08213148,0.057409834,0.037552399,0.070977371,0.057269519,0.129939882,0.028115513,0.149861407,0.119772466,0.081311436,0.058813556,0.116124586,0.084535418,0.248225395,0.042489168,0.248382158,0.248215271,0.232624249,0.09805422,0.244932967,0.232725781,0.138228301,0.084746889,0.248678636,0.144120658,0.112011411,0.048924976,0.153056062,0.112555303,0.108868295,0.081979679,0.113443628,0.109038864,0.088099935,0.015600602,0.150850702,0.088065586
2,3,0.115731964,0.084291294,0.123610358,0.115066787,0.107036436,0.075418995,0.135960701,0.106461428,0.077569306,0.057606582,0.100627955,0.078995007,0.091405252,0.045673567,0.095891512,0.090698461,0.062960713,0.05044669,0.067662672,0.060520856,0.120659233,0.082765723,0.147347633,0.120220483,0.094066522,0.084503034,0.106765828,0.094006281,0.122826469,0.054746254,0.133294882,0.121512262,0.04600083,0.024822531,0.110601614,0.047704021,0.129406326,0.088320479,0.147663944,0.131236726,0.079948181,0.065369149,0.098346943,0.079612159,0.04885635,0.036752907,0.053766922,0.046527228,0.099561957,0.069061812,0.110671846,0.098610967,0.138846398,0.085470976,0.148095177,0.135348285,0.049294153,0.038530582,0.058244263,0.049068185,0.07484057,0.069885324,0.082252212,0.074726132,0.053909756,0.036140202,0.065528367,0.053797857,0.109994,0.00081407,0.122349164,0.102985234,0.074107504,0.055072278,0.100607658,0.076704258,0.113618343,0.001889038,0.114160911,0.11358405,0.147006763,0.087285055,0.148176525,0.145163161,0.115332019,0.07683242,0.148113573,0.118960391,0.097673144,0.046456268,0.124239027,0.098048896,0.095338805,0.074601212,0.098648543,0.095463393,0.079554299,0.015397542,0.122972931,0.079527071
3,4,0.0964534,0.075425205,0.100499436,0.09608172,0.091354013,0.068571793,0.104994794,0.090991712,0.070181763,0.053758212,0.087068228,0.071291669,0.080734249,0.043409051,0.083924335,0.080222048,0.058328437,0.047597974,0.062262561,0.056300957,0.099062687,0.07405699,0.105452007,0.098799915,0.082593442,0.075582656,0.091119643,0.082550727,0.100133469,0.05135488,0.104100277,0.099487494,0.043693718,0.024216536,0.09353009,0.045206379,0.102950914,0.073624102,0.105467853,0.087239338,0.072094795,0.060367191,0.085578053,0.071833872,0.046173429,0.035246863,0.050471108,0.044124779,0.086402534,0.063439763,0.09352073,0.08575544,0.105379772,0.064854843,0.105470547,0.093934984,0.046585426,0.036926392,0.054305412,0.046369664,0.068079578,0.06408597,0.073871624,0.067988412,0.050623058,0.034780873,0.060497676,0.050536527,0.09310997,2.36E-05,0.099892904,0.088683179,0.067540798,0.05153787,0.087162032,0.069597593,0.052002156,8.40E-05,0.052466884,0.051972888,0.09289676,0.077697787,0.105504098,0.0906193,0.096228176,0.065861362,0.10542345,0.094777376,0.085168223,0.044111744,0.100843889,0.085425333,0.083490629,0.067886806,0.085782949,0.083578036,0.071836577,0.015197098,0.100244264,0.071815413
4,5,0.080385941,0.06749153,0.081615222,0.080217081,0.077965955,0.062345467,0.082012989,0.077766571,0.063499303,0.050167807,0.07533823,0.064341251,0.071307125,0.041256362,0.073448554,0.070953882,0.054037409,0.044910112,0.057293407,0.052375185,0.081331605,0.065190221,0.081917862,0.080175846,0.072519624,0.067603872,0.077766248,0.072491059,0.081632532,0.048173477,0.081935311,0.081382765,0.041502082,0.023625272,0.079090869,0.04283927,0.081903675,0.040115165,0.081927756,0.073076028,0.065012764,0.055747916,0.074466873,0.064815451,0.043638097,0.033867419,0.047215091,0.041851729,0.074982433,0.05827472,0.079027593,0.074505143,0.079979666,0.033038444,0.081872516,0.073523314,0.044025505,0.035388989,0.050688348,0.043819698,0.061929266,0.058767785,0.066344806,0.061858106,0.047536724,0.033472349,0.055853176,0.047472744,0.078817781,6.83E-07,0.081558508,0.076367448,0.061554671,0.048290523,0.075510765,0.063148137,0.023798682,3.73E-06,0.024110821,0.023779077,0.058699841,0.045675013,0.080623416,0.058617912,0.080288569,0.038373821,0.081914265,0.075514238,0.074261778,0.041885029,0.081850022,0.074424558,0.073114807,0.061776679,0.074595189,0.073172355,0.06486628,0.014999224,0.081713212,0.06485026
5,6,0.066994693,0.060392174,0.066994324,0.066885097,0.066536252,0.056683575,0.067091896,0.066189746,0.057454853,0.046818235,0.065259086,0.058070412,0.062978629,0.039209878,0.064278045,0.062754361,0.050062564,0.042374014,0.052720805,0.048723013,0.066774104,0.049236771,0.066983089,0.065879669,0.063674391,0.060467271,0.066369631,0.06365716,0.066549215,0.045093412,0.066974599,0.065219609,0.039420085,0.023048362,0.066726119,0.040595813,0.065159005,0.021857049,0.066969528,0.062227684,0.0586263,0.051482028,0.064798162,0.05848264,0.041242284,0.032541868,0.044342037,0.039696101,0.065071747,0.053529409,0.066780498,0.064770936,0.060701764,0.016830433,0.066952669,0.059334351,0.041606205,0.033915589,0.047312132,0.041410138,0.056334451,0.053890822,0.059584752,0.056280427,0.044638532,0.032212656,0.051565207,0.044594504,0.066719554,1.98E-08,0.066975874,0.06576217,0.05609757,0.045220894,0.065414104,0.057294906,0.010890078,1.66E-07,0.011078616,0.010878266,0.03708843,0.02609058,0.066650684,0.037014054,0.066989063,0.020582279,0.066985819,0.063943912,0.064749177,0.039645029,0.067088704,0.064837661,0.064028346,0.056216432,0.064866427,0.064062112,0.058570799,0.014803879,0.066966701,0.058559126
6,7,0.055833877,0.052974304,0.05665643,0.055815607,0.056778267,0.048329535,0.056811347,0.056409214,0.051987654,0.043693471,0.056431805,0.052412878,0.055620558,0.037264271,0.056250009,0.055500097,0.046380658,0.039981103,0.048513095,0.045325345,0.05482214,0.034163388,0.056661205,0.054806848,0.055907883,0.054083937,0.056651276,0.055899648,0.054252175,0.042208467,0.055607649,0.052422507,0.03744219,0.022485441,0.056774986,0.038469496,0.051837341,0.011908774,0.056660601,0.050971013,0.052867066,0.047542475,0.056384629,0.052768441,0.038978355,0.031268086,0.041667427,0.037646343,0.056470956,0.049169621,0.056660064,0.056344968,0.046070406,0.008573705,0.056649065,0.044612738,0.039319788,0.032503523,0.044160711,0.039133274,0.051244937,0.049418455,0.053513325,0.051205536,0.041917003,0.0309999,0.04760639,0.041890538,0.056478484,5.72E-10,0.056640083,0.056478535,0.051122568,0.042347473,0.056664453,0.051984531,0.004982454,7.35E-09,0.005089717,0.00497575,0.023431339,0.014901723,0.056639866,0.023370077,0.055892349,0.011039412,0.056639047,0.05436189,0.056452105,0.037421804,0.056780478,0.055432946,0.056071002,0.051156561,0.056406372,0.056086011,0.052884628,0.014611017,0.056725177,0.052876609
7,8,0.046531981,0.043910936,0.048988896,0.046706928,0.048447443,0.037307106,0.049266149,0.048252196,0.047042679,0.04077853,0.049015895,0.047308779,0.04911974,0.035414489,0.049222116,0.049082016,0.042970146,0.037723287,0.044641147,0.042164425,0.04500935,0.023704464,0.049100748,0.045160515,0.049088522,0.048266935,0.049103712,0.049073855,0.044226721,0.037941108,0.047816513,0.043839426,0.035563142,0.021936151,0.049226581,0.036454152,0.041238937,0.006488334,0.049106451,0.040237696,0.047673441,0.043904276,0.049104432,0.047612406,0.036839082,0.030044034,0.039154059,0.035711911,0.049006916,0.045143864,0.049096227,0.048546376,0.034965626,0.004367553,0.049097224,0.033488733,0.037158944,0.031150235,0.041219103,0.036980469,0.046615067,0.045317099,0.048060356,0.046588089,0.03936136,0.029832269,0.043951444,0.039350261,0.047809462,1.66E-11,0.048773681,0.047809593,0.046586945,0.039657821,0.049230555,0.047172578,0.002279173,3.26E-10,0.002337888,0.002275511,0.014801467,0.008509951,0.048772117,0.014753759,0.046633562,0.005920941,0.049102913,0.045497118,0.049215155,0.035325586,0.049241509,0.047923911,0.049102446,0.046552022,0.049102944,0.049077495,0.047748662,0.014420598,0.049220653,0.047709305
8,9,0.038779385,0.035699701,0.043267561,0.038999353,0.041335091,0.028794129,0.043425861,0.041463357,0.042570104,0.038059402,0.043168621,0.042546182,0.043376257,0.033655746,0.043453589,0.043260318,0.039811053,0.035592929,0.041078155,0.039223734,0.036952849,0.016447369,0.043321937,0.037128871,0.043100785,0.041256765,0.043322984,0.043103025,0.036053256,0.030511757,0.043026482,0.036504034,0.033777955,0.021400146,0.043458181,0.03452955,0.032807105,0.003534988,0.04332849,0.031764246,0.042989857,0.040544364,0.04332869,0.042777276,0.034817629,0.028867753,0.036792199,0.033860724,0.042529368,0.040284731,0.043306255,0.042402227,0.026537411,0.002224862,0.043309838,0.025138333,0.035116765,0.029853273,0.038473325,0.034928675,0.042403311,0.041544092,0.043146733,0.042386835,0.036961481,0.028708025,0.040577033,0.036963738,0.040471149,4.80E-13,0.042009267,0.040471334,0.042451803,0.037140268,0.043472648,0.04264565,0.001042366,1.44E-11,0.001073652,0.001040419,0.009348742,0.004858983,0.043000999,0.009312923,0.038908282,0.003175602,0.043322649,0.037621566,0.042902859,0.03329546,0.043455226,0.041534548,0.042999795,0.042361823,0.04329363,0.042907571,0.043109565,0.014232579,0.043391634,0.041467426
9,10,0.032318045,0.029023552,0.038715421,0.032563297,0.035263106,0.022219818,0.03882387,0.035422679,0.038524821,0.035419049,0.038653369,0.038302937,0.03830188,0.031983501,0.038910471,0.038287235,0.036884862,0.033582825,0.037799453,0.036487911,0.030338286,0.011411925,0.038717436,0.030525485,0.037843239,0.035209996,0.038621735,0.037851669,0.029389698,0.023862339,0.038769063,0.029967148,0.032081897,0.020877088,0.038851755,0.032305489,0.026098959,0.001925879,0.038478603,0.025074871,0.038766212,0.036874784,0.038771407,0.038371962,0.032907528,0.027737364,0.034572701,0.032067258,0.036907916,0.034051023,0.038746783,0.037091597,0.020140635,0.001133343,0.03863246,0.018869983,0.033186722,0.028610287,0.035910326,0.03301397,0.038571894,0.038099515,0.038773056,0.038550325,0.034707862,0.027625502,0.03746161,0.034701039,0.034259256,1.39E-14,0.036183062,0.034259475,0.03868172,0.034783868,0.03891636,0.038519094,0.000476605,6.40E-13,0.000492946,0.000475591,0.005903835,0.00277384,0.038637301,0.005877626,0.032462514,0.001703138,0.038734502,0.031052811,0.037397118,0.028087866,0.038921786,0.03648423,0.037655437,0.037088866,0.038766726,0.037636198,0.038919203,0.014046919,0.03892224,0.037697907
