Wind Farm,Wind Farm 2,Species,start date,end date,Season,Year,group,Scientific Name,Species for Flight Height Distribution,BirdLength,BirdLengthSD,wingspan,wingspanSD,flight speed,flightspeedSD,flight speed (alternate),Flight Mode,Nocturnal Correction,Latitude,Turbine Model,number of turbines,hub height,blades,rotor diameter,blade width,rotor speed,rotorspeedSD,rotor pitch,pitchSD,Recorded Collisions,correction for area,correction for predation,correction for efficiency,Estimated Collisions,density,Survey area,Number of birds recorded,N Hours monitoring,passage rate,total flux,width of survey area,height survey window,% flights at rotor height
Bloodgate Hill,Bloodgate Hill,black-headed gull,01/10/2007,27/02/2008,oct-feb,2007-08,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,52.87,0.225,10,30,3,27,0.66,43,0.05,10,0.01,0,1,1,1,0,,,1938,36,125.0833333,,1500,43.5,0.18
Bloodgate Hill,Bloodgate Hill,common gull,01/10/2007,27/02/2008,oct-feb,2007-08,small gull,Larus canus,CommonGull,0.41,0.005,1.2,0.04,13.4,2.9,,flap,0.25,52.87,0.225,10,30,3,27,0.66,43,0.05,10,0.01,0,1,1,1,0,,,779,36,61.30555556,,1500,43.5,0.17
Bloodgate Hill,Bloodgate Hill,lesser black-backed gull,01/10/2007,27/02/2008,oct-feb,2007-08,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,52.87,0.225,10,30,3,27,0.66,43,0.05,10,0.01,0,1,1,1,0,,,1,36,0.194444444,,1500,43.5,0.6
Bloodgate Hill,Bloodgate Hill,herring gull,01/10/2007,27/02/2008,oct-feb,2007-08,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,52.87,0.225,10,30,3,27,0.66,43,0.05,10,0.01,0,1,1,1,0,,,15,36,1.361111111,,1500,43.5,0.9
Bloodgate Hill,Bloodgate Hill,great black-backed gull,01/10/2007,27/02/2008,oct-feb,2007-08,large gull,Larus marinus,GreatBlackBackedGull,0.71,0.005,1.58,0.04,13.7,1.8,,flap,0.25,52.87,0.225,10,30,3,27,0.66,43,0.05,10,0.01,0,1,1,1,0,,,5,36,0.361111111,,1500,43.5,0.77
blyth harbour,Blyth harbour,Mediterranean gull,01/09/2016,31/03/2017,sept-mar,2016-17,small gull,Ichthyaetus melanocephalus,BlackHeadedGull,0.37,0.005,0.96,0.04,11.9,1.9,,flap,0.25,55.13,3.4,1,76,3,104,4.3,13.8,0.05,15,0.01,0,2.2,1,1,0,,,3,54,0.055555556,,400,128,1
blyth harbour,Blyth harbour,common gull,01/09/2016,31/03/2017,sept-mar,2016-17,small gull,Larus canus,CommonGull,0.41,0.005,1.2,0.04,13.4,2.9,,flap,0.25,55.13,3.4,1,76,3,104,4.3,13.8,0.05,15,0.01,0,2.2,1,1,0,,,470,54,8.703703704,,400,128,0.02
blyth harbour,Blyth harbour,glaucous gull,01/09/2016,31/03/2017,sept-mar,2016-17,large gull,Larus hyperboreus,HerringGull,0.65,0.005,1.58,0.04,13.4,0.8,,flap,0.25,55.13,3.4,1,76,3,104,4.3,13.8,0.05,15,0.01,0,2.2,1,1,0,,,5,54,0.092592593,,400,128,0
blyth harbour,Blyth harbour,iceland gull,01/09/2016,31/03/2017,sept-mar,2016-17,large gull,Larus glaucoides,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,55.13,3.4,1,76,3,104,4.3,13.8,0.05,15,0.01,0,2.2,1,1,0,,,3,54,0.055555556,,400,128,0
blyth harbour,Blyth harbour,herring gull,01/09/2016,31/03/2017,sept-mar,2016-17,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,55.13,3.4,1,76,3,104,4.3,13.8,0.05,15,0.01,1,2.2,1,1,2.2,,,4358,54,80.7037037,,400,128,0.56
blyth harbour,Blyth harbour,great black-backed gull,01/09/2016,31/03/2017,sept-mar,2016-17,large gull,Larus marinus,GreatBlackBackedGull,0.71,0.005,1.58,0.04,13.7,1.8,,flap,0.25,55.13,3.4,1,76,3,104,4.3,13.8,0.05,15,0.01,0,2.2,1,1,0,,,1704,54,31.55555556,,400,128,0.56
blyth harbour,Blyth harbour,black-headed gull,01/09/2016,31/03/2017,sept-mar,2016-17,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,55.13,3.4,1,76,3,104,4.3,13.8,0.05,15,0.01,2,2.2,1,1,2.4,,,520,54,9.62962963,,400,128,0.07
blyth harbour,Blyth harbour,kittiwake,01/09/2016,31/03/2017,sept-mar,2016-17,small gull,Rissa tridactyla,Kittiwake,0.39,0.005,1.08,0.04,13.1,0.4,8.6,flap,0.25,55.13,3.4,1,76,3,104,4.3,13.8,0.05,15,0.01,0,2.2,1,1,0,,,74,54,1.37037037,,400,128,0
blyth harbour,Blyth harbour,sandwich tern,01/09/2016,31/03/2017,sept-mar,2016-17,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,55.13,3.4,1,76,3,104,4.3,13.8,0.05,15,0.01,0,2.2,1,1,0,,,4,54,0.074074074,,400,128,0.5
goole fields I,Goole fields I,common gull,01/04/2017,31/08/2017,april-august,2017,small gull,Larus canus,CommonGull,0.41,0.005,1.2,0.04,13.4,2.9,,flap,0.25,53.66,2.05,16,79,3,92,4.4,17.5,0.05,10,0.01,0,1,1,1,0,,,89,45,1.977777778,,2750,150,0.29
goole fields I,Goole fields I,lesser black-backed gull,01/04/2017,31/08/2017,april-august,2017,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,53.66,2.05,16,79,3,92,4.4,17.5,0.05,10,0.01,0,1,1,1,0,,,851,45,18.91111111,,2750,150,0.61
goole fields I,Goole fields I,yellow-legged gull,01/04/2017,31/08/2017,april-august,2017,large gull,Larus michaelis,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0,53.66,2.05,16,79,3,92,4.4,17.5,0.05,10,0.01,0,1,1,1,0,,,39,45,0.866666667,,2750,150,0.09
goole fields I,Goole fields I,herring gull,01/04/2017,31/08/2017,april-august,2017,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,53.66,2.05,16,79,3,92,4.4,17.5,0.05,10,0.01,0,1,1,1,0,,,34,45,0.755555556,,2750,150,0.44
goole fields I,Goole fields I,black-headed gull,01/04/2017,31/08/2017,april-august,2017,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,53.66,2.05,16,79,3,92,4.4,17.5,0.05,10,0.01,0,1,1,1,0,,,1187,45,26.37777778,,2750,150,0.2
goole fields II,Goole fields II,common gull,01/09/2017,31/03/2018,Sept-mar,2017-18,small gull,Larus canus,CommonGull,0.41,0.005,1.2,0.04,13.4,2.9,,flap,0.25,53.66,2.05,16,79,3,92,4.4,17.5,0.05,10,0.01,0,1.21,1.14,1.1,0,,,NA,72,17.6,,3200,150,0.24
goole fields II,Goole fields II,caspian gull,01/09/2017,31/03/2018,Sept-mar,2017-18,large gull,Larus cacchinans,HerringGull,0.61,0.005,1.44,0.04,12.8,1.8,,flap,0.25,53.66,2.05,16,79,3,92,4.4,17.5,0.05,10,0.01,0,1.21,1.14,1.1,0,,,NA,72,0.04,,3200,150,0.33
goole fields II,Goole fields II,lesser black-backed gull,01/09/2017,31/03/2018,Sept-mar,2017-18,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,53.66,2.05,16,79,3,92,4.4,17.5,0.05,10,0.01,1,1.21,1.14,1.1,1.51734,,,NA,72,45.3,,3200,150,0.49
